【Batch 2 - 評価結果】
実施: 2025-10-24 19:14:23
モデル: gpt-5
総問題数: 140
トークン: input=7004, output=11631
======================================================================

150: 9 | ❌ | 法的根拠の提示なし。文が不完全で解説不在。抽象的表現が多い。
176: 9 | ❌ | 法的根拠の提示なし。文が不完全で解説不在。抽象的表現が多い。
177: 9 | ❌ | 法的根拠の提示なし。文が不完全で解説不在。抽象的表現が多い。
178: 12 | ❌ | 法的根拠は風営法への一般的言及のみで条文特定なし。文が不完全で解説不在。抽象的。
179: 9 | ❌ | 法的根拠の提示なし。文が不完全で解説不在。抽象的表現が多い。
180: 9 | ❌ | 法的根拠の提示なし。文が不完全で解説不在。抽象的表現が多い。
181: 12 | ❌ | 法的根拠は風営法への一般的言及のみで条文特定なし。文が不完全で解説不在。抽象的。
182: 9 | ❌ | 法的根拠の提示なし。文が不完全で解説不在。抽象的表現が多い。
183: 9 | ❌ | 法的根拠の提示なし。文が不完全で解説不在。抽象的表現が多い。
184: 12 | ❌ | 法的根拠は風営法への一般的言及のみで条文特定なし。文が不完全で解説不在。抽象的。
185: 9 | ❌ | 法的根拠の提示なし。文が不完全で解説不在。抽象的表現が多い。
186: 9 | ❌ | 法的根拠の提示なし。文が不完全で解説不在。抽象的表現が多い。
187: 9 | ❌ | 法的根拠の提示なし。文が不完全で解説不在。抽象的表現が多い。
188: 9 | ❌ | 法的根拠の提示なし。文が不完全で解説不在。抽象的表現が多い。
189: 9 | ❌ | 法的根拠の提示なし。文が不完全で解説不在。抽象的表現が多い。
190: 9 | ❌ | 法的根拠の提示なし。文が不完全で解説不在。抽象的表現が多い。
191: 9 | ❌ | 法的根拠の提示なし。文が不完全で解説不在。抽象的表現が多い。
192: 9 | ❌ | 法的根拠の提示なし。文が不完全で解説不在。抽象的表現が多い。
193: 9 | ❌ | 法的根拠の提示なし。文が不完全で解説不在。抽象的表現が多い。
194: 9 | ❌ | 法的根拠の提示なし。文が不完全で解説不在。抽象的表現が多い。
195: 9 | ❌ | 法的根拠の提示なし。文が不完全で解説不在。抽象的表現が多い。
196: 9 | ❌ | 法的根拠の提示なし。文が不完全で解説不在。抽象的表現が多い。
197: 9 | ❌ | 法的根拠の提示なし。文が不完全で解説不在。抽象的表現が多い。
198: 9 | ❌ | 法的根拠の提示なし。文が不完全で解説不在。抽象的表現が多い。
199: 9 | ❌ | 法的根拠の提示なし。文が不完全で解説不在。抽象的表現が多い。
200: 9 | ❌ | 法的根拠の提示なし。文が不完全で解説不在。抽象的表現が多い。
201: 10 | ❌ | 法令への一般的言及のみで条文特定なし。文が不完全で解説不在。抽象的。
202: 10 | ❌ | 法的根拠の提示なし。手続期限の言及はあるが文が不完全で解説不在。抽象的。
203: 11 | ❌ | 法的根拠の提示なし。公安委員会等の語はあるが文が不完全で解説不在。抽象的。
204: 9 | ❌ | 法的根拠の提示なし。文が不完全で解説不在。抽象的表現が多い。
205: 9 | ❌ | 法的根拠の提示なし。文が不完全で解説不在。抽象的表現が多い。
206: 9 | ❌ | 法的根拠の提示なし。文が不完全で解説不在。抽象的表現が多い。
207: 9 | ❌ | 法的根拠の提示なし。文が不完全で解説不在。抽象的表現が多い。
208: 9 | ❌ | 法的根拠の提示なし。文が不完全で解説不在。抽象的表現が多い。
209: 9 | ❌ | 法的根拠の提示なし。文が不完全で解説不在。抽象的表現が多い。
210: 10 | ❌ | 法令への一般的言及のみで条文特定なし。文が不完全で解説不在。抽象的。
211: 9 | ❌ | 法的根拠の提示なし。文が不完全で解説不在。抽象的表現が多い。
212: 9 | ❌ | 法的根拠の提示なし。文が不完全で解説不在。抽象的表現が多い。
213: 9 | ❌ | 法的根拠の提示なし。文が不完全で解説不在。抽象的表現が多い。
214: 11 | ❌ | 法的根拠の提示なし。公安委員会等の語はあるが文が不完全で解説不在。抽象的。
215: 9 | ❌ | 法的根拠の提示なし。文が不完全で解説不在。抽象的表現が多い。
216: 9 | ❌ | 法的根拠の提示なし。文が不完全で解説不在。抽象的表現が多い。
217: 9 | ❌ | 法的根拠の提示なし。文が不完全で解説不在。抽象的表現が多い。
218: 9 | ❌ | 法的根拠の提示なし。文が不完全で解説不在。抽象的表現が多い。
219: 9 | ❌ | 法的根拠の提示なし。所轄警察等の語はあるが文が不完全で解説不在。抽象的。
220: 11 | ❌ | 法的根拠の提示なし。公安委員会等の語はあるが文が不完全で解説不在。抽象的。
221: 9 | ❌ | 法的根拠の提示なし。自治体差の言及はあるが文が不完全で解説不在。抽象的。
222: 9 | ❌ | 法的根拠の提示なし。具体時間の記載はあるが文が不完全で解説不在。抽象的。
223: 10 | ❌ | 法令への一般的言及のみで条文特定なし。文が不完全で解説不在。抽象的。
224: 9 | ❌ | 法的根拠の提示なし。災害時の言及はあるが文が不完全で解説不在。抽象的。
225: 9 | ❌ | 法的根拠の提示なし。災害時の言及はあるが文が不完全で解説不在。抽象的。
226: 9 | ❌ | 法的根拠の提示なし。処分の言及はあるが文が不完全で解説不在。抽象的。
227: 12 | ❌ | 法的根拠は風営法への一般的言及のみで条文特定なし。文が不完全で解説不在。抽象的。
228: 11 | ❌ | 法的根拠の提示なし。公安委員会等の語はあるが文が不完全で解説不在。抽象的。
229: 9 | ❌ | 法的根拠の提示なし。期限の言及はあるが文が不完全で解説不在。抽象的。
230: 9 | ❌ | 法的根拠の提示なし。処分の言及はあるが文が不完全で解説不在。抽象的。
231: 9 | ❌ | 法的根拠の提示なし。用語の言及はあるが文が不完全で解説不在。抽象的。
232: 9 | ❌ | 法的根拠の提示なし。手続の言及はあるが文が不完全で解説不在。抽象的。
233: 10 | ❌ | 法令への一般的言及のみで条文特定なし。文が不完全で解説不在。抽象的。
234: 9 | ❌ | 法的根拠の提示なし。期限の言及はあるが文が不完全で解説不在。抽象的。
235: 9 | ❌ | 法的根拠の提示なし。処分の言及はあるが文が不完全で解説不在。抽象的。
236: 9 | ❌ | 法的根拠の提示なし。用語の言及はあるが文が不完全で解説不在。抽象的。
237: 9 | ❌ | 法的根拠の提示なし。比較の主張はあるが文が不完全で解説不在。抽象的。
238: 9 | ❌ | 法的根拠の提示なし。制限の主張はあるが文が不完全で解説不在。抽象的。
239: 11 | ❌ | 法的根拠の提示なし。公安委員会等の語はあるが文が不完全で解説不在。抽象的。
240: 9 | ❌ | 法的根拠の提示なし。比較の主張はあるが文が不完全で解説不在。抽象的。
241: 9 | ❌ | 法的根拠の提示なし。用語の言及はあるが文が不完全で解説不在。抽象的。
242: 10 | ❌ | 法令への一般的言及のみで条文特定なし。文が不完全で解説不在。抽象的。
243: 9 | ❌ | 法的根拠の提示なし。内容は一般論だが文が不完全で解説不在。抽象的。
244: 11 | ❌ | 法的根拠の提示なし。公安委員会等の語はあるが文が不完全で解説不在。抽象的。
245: 9 | ❌ | 法的根拠の提示なし。記録義務の主張はあるが文が不完全で解説不在。抽象的。
246: 9 | ❌ | 法的根拠の提示なし。点検周期の主張はあるが文が不完全で解説不在。抽象的。
247: 12 | ❌ | 法的根拠は風営法への一般的言及のみで条文特定なし。文が不完全で解説不在。抽象的。
248: 9 | ❌ | 法的根拠の提示なし。比較の主張はあるが文が不完全で解説不在。抽象的。
249: 9 | ❌ | 法的根拠の提示なし。用語の言及はあるが文が不完全で解説不在。抽象的。
250: 9 | ❌ | 法的根拠の提示なし。任意性の主張はあるが文が不完全で解説不在。抽象的。
251: 9 | ❌ | 法的根拠の提示なし。期限の言及はあるが文が不完全で解説不在。抽象的。
252: 9 | ❌ | 法的根拠の提示なし。承認申請の言及はあるが文が不完全で解説不在。抽象的。
253: 9 | ❌ | 法的根拠の提示なし。期限の言及はあるが文が不完全で解説不在。抽象的。
254: 9 | ❌ | 法的根拠の提示なし。任意性の主張はあるが文が不完全で解説不在。抽象的。
255: 9 | ❌ | 法的根拠の提示なし。機関差の主張はあるが文が不完全で解説不在。抽象的。
256: 9 | ❌ | 法的根拠の提示なし。申請可否の主張はあるが文が不完全で解説不在。抽象的。
257: 9 | ❌ | 法的根拠の提示なし。対象範囲の主張はあるが文が不完全で解説不在。抽象的。
258: 9 | ❌ | 法的根拠の提示なし。期限の言及はあるが文が不完全で解説不在。抽象的。
259: 9 | ❌ | 法的根拠の提示なし。災害時の主張はあるが文が不完全で解説不在。抽象的。
260: 9 | ❌ | 法的根拠の提示なし。記録・届出の主張はあるが文が不完全で解説不在。抽象的。
261: 9 | ❌ | 法的根拠の提示なし。処分の主張はあるが文が不完全で解説不在。抽象的。
262: 9 | ❌ | 法的根拠の提示なし。期限の言及はあるが文が不完全で解説不在。抽象的。
263: 9 | ❌ | 法的根拠の提示なし。許可申請の主張はあるが文が不完全で解説不在。抽象的。
264: 11 | ❌ | 法的根拠の提示なし。公安委員会等の語はあるが文が不完全で解説不在。抽象的。
265: 10 | ❌ | 法的根拠の提示なし。承認申請・期限の言及はあるが文が不完全で解説不在。抽象的。
266: 9 | ❌ | 法的根拠の提示なし。点検項目の主張はあるが文が不完全で解説不在。抽象的。
267: 9 | ❌ | 法的根拠の提示なし。封印確認の主張はあるが文が不完全で解説不在。抽象的。
268: 9 | ❌ | 法的根拠の提示なし。頻度の主張はあるが文が不完全で解説不在。抽象的。
269: 9 | ❌ | 法的根拠の提示なし。災害時・申請義務の主張はあるが文が不完全で解説不在。抽象的。
270: 9 | ❌ | 法的根拠の提示なし。確認事項の主張はあるが文が不完全で解説不在。抽象的。
271: 9 | ❌ | 法的根拠の提示なし。過料の言及はあるが文が不完全で解説不在。抽象的。
272: 12 | ❌ | 法的根拠は風営法への一般的言及のみで条文特定なし。文が不完全で解説不在。抽象的。
273: 9 | ❌ | 法的根拠の提示なし。報告義務の主張はあるが文が不完全で解説不在。抽象的。
274: 9 | ❌ | 法的根拠の提示なし。行政処分の言及はあるが文が不完全で解説不在。抽象的。
275: 9 | ❌ | 法的根拠の提示なし。製造番号の主張はあるが文が不完全で解説不在。抽象的。
276: 9 | ❌ | 法的根拠の提示なし。報告・申請の主張はあるが文が不完全で解説不在。抽象的。
277: 9 | ❌ | 法的根拠の提示なし。届出義務の主張はあるが文が不完全で解説不在。抽象的。
278: 9 | ❌ | 法的根拠の提示なし。型式検定の言及はあるが文が不完全で解説不在。抽象的。
279: 9 | ❌ | 法的根拠の提示なし。必要書類差の主張はあるが文が不完全で解説不在。抽象的。
280: 9 | ❌ | 法的根拠の提示なし。処分の主張はあるが文が不完全で解説不在。抽象的。
281: 9 | ❌ | 法的根拠の提示なし。申請義務の主張はあるが文が不完全で解説不在。抽象的。
282: 9 | ❌ | 法的根拠の提示なし。型式検定の言及はあるが文が不完全で解説不在。抽象的。
283: 9 | ❌ | 法的根拠の提示なし。報告義務の主張はあるが文が不完全で解説不在。抽象的。
284: 9 | ❌ | 法的根拠の提示なし。型式検定の言及はあるが文が不完全で解説不在。抽象的。
285: 9 | ❌ | 法的根拠の提示なし。提出義務の主張はあるが文が不完全で解説不在。抽象的。
286: 9 | ❌ | 法的根拠の提示なし。処分の主張はあるが文が不完全で解説不在。抽象的。
287: 9 | ❌ | 法的根拠の提示なし。確認事項の主張はあるが文が不完全で解説不在。抽象的。
288: 9 | ❌ | 法的根拠の提示なし。提出期限の主張はあるが文が不完全で解説不在。抽象的。
289: 9 | ❌ | 法的根拠の提示なし。報告期限の主張はあるが文が不完全で解説不在。抽象的。
